露營場名稱,縣市別,縣市代碼,鄉/鎮/市/區,營業狀態,經度,緯度,地址,電話,手機,網站,符合相關法規露營場／違反相關法規露營場,違反相關法規,是否有在原民區,露營場設置時間
5859露營區,宜蘭縣,10002,大同鄉,營業中,121.6840994,24.59498352,宜蘭縣大同鄉古魯巷1-1號,,0908093697,,違反相關法規露營場,區域計畫法,是,
天梯露營區,宜蘭縣,10002,大同鄉,營業中,121.603768,24.677041,泰雅路一段88巷66號,0921591070,0921591070,,違反相關法規露營場,違反農業發展條例,是,
依拜・吉娃斯生態園區,宜蘭縣,10002,大同鄉,營業中,121.522632,24.614719,宜蘭市嵐峰路三段326巷2號2樓之1,,0920154207,,違反相關法規露營場,區域計畫法,是,
雲端紅土咖啡露營區,宜蘭縣,10002,大同鄉,營業中,121.6064993,24.69228006,宜蘭縣大同鄉崙埤村5鄰朝陽3-1號,,0911835587,,違反相關法規露營場,區域計畫法,是,
一山半水露營區,宜蘭縣,10002,大同鄉,營業中,121.703894,24.62174162,宜蘭縣大同鄉寒溪巷68之9號,,0916937663,,違反相關法規露營場,區域計畫法,是,
亞爸的山,宜蘭縣,10002,大同鄉,營業中,121.3672426,24.41681178,泰雅路七段363之1號,,0976385026,,違反相關法規露營場,區域計畫法,是,
宇世格爵露營區,宜蘭縣,10002,大同鄉,營業中,121.5361266,24.59361296,宜蘭縣大同鄉樂水村碼崙路90巷16號,,,,違反相關法規露營場,區域計畫法,是,
櫻花溫泉休閒農場,宜蘭縣,10002,大同鄉,營業中,121.605189,24.633665,宜蘭縣大同鄉復興村泰雅一路73號,,,,符合相關法規露營場,,是,休閒農場請洽主管機關（農業部）
秘密基地露營區,宜蘭縣,10002,大同鄉,營業中,121.566116,24.661397,宜蘭縣大同鄉泰雅路二段88巷211-9號.,,0976521583,,違反相關法規露營場,違反農業發展條例,是,
夏諾營,宜蘭縣,10002,大同鄉,營業中,121.5887417,24.66304711,宜蘭縣大同鄉泰雅路二段33巷31號之7,,0939124993,,違反相關法規露營場,區域計畫法,是,
哇吉散露營區,宜蘭縣,10002,大同鄉,營業中,121.560853,24.62715,泰雅一路牛鬥81之1號,,0912094473,,違反相關法規露營場,區域計畫法,是,
飛亞蘭露營區,宜蘭縣,10002,大同鄉,營業中,121.455694,24.538569,泰雅路五段46號,,0988066912,,違反相關法規露營場,區域計畫法,是,
見望村親子休閒農場,宜蘭縣,10002,大同鄉,營業中,121.675201,24.635522,宜蘭縣大同鄉寒溪村華興巷48-1號,,,,符合相關法規露營場,,是,休閒農場請洽主管機關（農業部）
大同圓頂360露營區,宜蘭縣,10002,大同鄉,營業中,121.595035,24.6802,267宜蘭縣大同鄉Unnamed Rd,,0933772874,,違反相關法規露營場,違反農業發展條例,是,
太平山森活趣渡假農場,宜蘭縣,10002,大同鄉,營業中,121.4474264,24.5227352,泰雅路六段2巷6-3號,,0922497473,,違反相關法規露營場,區域計畫法,是,
原最露營場,宜蘭縣,10002,大同鄉,營業中,121.5771887,24.66395665,泰雅路2段46巷118-25號,,0926261041,,違反相關法規露營場,區域計畫法,是,
瑪崙菓園親子露營區,宜蘭縣,10002,大同鄉,營業中,121.543363,24.604367,樂水路20巷150-1號,,0901228833,,違反相關法規露營場,區域計畫法,是,
歐浪哈勇露營區,宜蘭縣,10002,大同鄉,營業中,121.6820979,24.60985707,宜蘭縣大同鄉華興巷1-61號,,,,違反相關法規露營場,區域計畫法,是,
星光山夜露營區,宜蘭縣,10002,大同鄉,營業中,121.689319,24.610982,寒溪村寒溪巷71-6號,,0921956430,,違反相關法規露營場,違反農業發展條例,是,
沐野露營區,宜蘭縣,10002,大同鄉,營業中,121.569051,24.650488,宜蘭縣大同鄉泰雅路二段92巷99-1號,,0922157971,,違反相關法規露營場,區域計畫法,是,
五葉松林休閒露營區,宜蘭縣,10002,大同鄉,營業中,121.5923908,24.66435533,宜蘭縣大同鄉松羅村泰雅路二段33巷31-1號,,0927806958,,違反相關法規露營場,區域計畫法,是,
彩虹杯杯館,宜蘭縣,10002,大同鄉,營業中,121.685643,24.613557,267039宜蘭縣大同鄉華興巷1-7號,,0922633488,,違反相關法規露營場,區域計畫法,是,
幸福城景觀露營區,宜蘭縣,10002,大同鄉,營業中,121.584639,24.666572,大同鄉泰雅路二段29巷58-6號,,"0935668316,0966637131",,違反相關法規露營場,區域計畫法,是,
香格里拉休閒農場,宜蘭縣,10002,冬山鄉,營業中,121.729249,24.631996,宜蘭縣冬山鄉大進村梅山路168號,,,,符合相關法規露營場,,否,休閒農場請洽主管機關（農業部）
希望之丘露營區,宜蘭縣,10002,冬山鄉,營業中,121.72454,24.633714,宜蘭縣冬山鄉大進村小埤五路331號,,,,符合相關法規露營場,,否,休閒農場請洽主管機關（農業部）
樂山環茶,宜蘭縣,10002,冬山鄉,營業中,,,宜蘭縣冬山鄉太和路615號,0912432667,,,違反相關法規露營場,區域計畫法,否,
田野森農場Morilife,宜蘭縣,10002,冬山鄉,營業中,121.7206899,24.63403718,大進二路246號,,,,違反相關法規露營場,區域計畫法,否,
松櫻秘境,宜蘭縣,10002,冬山鄉,營業中,121.7259401,24.61960877,宜蘭縣冬山鄉中山路768巷28號-1號,,,,違反相關法規露營場,區域計畫法,否,
峇里島漫活民宿,宜蘭縣,10002,冬山鄉,營業中,121.7799427,24.64111335,宜蘭縣冬山鄉永和路160號,,0972720508,,違反相關法規露營場,區域計畫法,否,
三富休閒農場,宜蘭縣,10002,冬山鄉,營業中,121.754694,24.617374,宜蘭縣冬山鄉新寮二路161巷88號,,,,符合相關法規露營場,,否,休閒農場請洽主管機關（農業部）
天ㄟ藝文露營區,宜蘭縣,10002,冬山鄉,營業中,121.7325582,24.64583936,,,,,違反相關法規露營場,都市計畫法,否,
舊寮之心,宜蘭縣,10002,冬山鄉,營業中,121.74247,24.627531,宜蘭縣冬山鄉舊寮路131巷37號,,0937161773,,違反相關法規露營場,區域計畫法,否,
梅花湖休閒農場 ,宜蘭縣,10002,冬山鄉,營業中,121.734427,24.64845,宜蘭縣冬山鄉得安村環湖路66號,,,,符合相關法規露營場,,否,休閒農場請洽主管機關（農業部）
東風有機休閒農場,宜蘭縣,10002,冬山鄉,營業中,121.7303618,24.61850485,冬山鄉中山村中山路768巷11號,,,,符合相關法規露營場,,否,休閒農場請洽主管機關（農業部）
又想露營趣,宜蘭縣,10002,冬山鄉,營業中,121.794337,24.614275,269宜蘭縣冬山鄉照安一路360之1號,,0911963012,,違反相關法規露營場,區域計畫法,否,
LoopLand 露營度假村,宜蘭縣,10002,冬山鄉,營業中,121.7664169,24.6344434,宜蘭縣冬山鄉寶修路86號,039901133,,https://loopland.com.tw/,違反相關法規露營場,區域計畫法,否,
梅山久久露營場,宜蘭縣,10002,冬山鄉,營業中,121.72447,24.62612071,武罕一路57號,,,,符合相關法規露營場,,否,1121130
同樂休閒綠園道,宜蘭縣,10002,宜蘭市,營業中,121.737832,24.780464,宜蘭縣宜蘭市梅洲二路60號,039330000,,,違反相關法規露營場,違反都市計畫法 違反非都市土地管制規則,否,
麗野莊園休閒農場,宜蘭縣,10002,宜蘭市,營業中,121.780171,24.741841,宜蘭縣宜蘭市黎明一路88號,,,,符合相關法規露營場,,否,休閒農場請洽主管機關（農業部）
白雲楓香露營區,宜蘭縣,10002,南澳鄉,營業中,121.751113,24.331821,宜蘭縣南澳鄉澳花村和平路9巷21-1號.,,0925009068,,違反相關法規露營場,違反農業發展條例,是,
露境東岳,宜蘭縣,10002,南澳鄉,營業中,121.834061,24.525425,宜蘭縣南澳鄉蘇花路5段1巷5之1號,039616866,0918008877,https://www.camping085.com/,違反相關法規露營場,違反農業發展條例,是,
依山傍水露營場,宜蘭縣,10002,南澳鄉,營業中,121.7698373,24.32962677,新北市板橋區漢生東路193巷42號,,0903071039,,違反相關法規露營場,區域計畫法,是,
BULABULA.KC布拉布拉露營區(原八福原地),宜蘭縣,10002,南澳鄉,營業中,121.832341,24.526896,宜蘭縣南澳鄉81巷,0919182697,,,違反相關法規露營場,區域計畫法,是,
金洋山豬露營區,宜蘭縣,10002,南澳鄉,營業中,121.7484964,24.42851901,宜蘭縣南澳鄉博愛路14之1號,,0988088203,,違反相關法規露營場,區域計畫法,是,
天涯九號露營區,宜蘭縣,10002,南澳鄉,營業中,121.7639237,24.44678922,橫山路13-16號,,0921040936,,違反相關法規露營場,區域計畫法,是,
Myasa 迷雅薩農場,宜蘭縣,10002,南澳鄉,營業中,121.7866997,24.46387595,宜蘭縣南澳鄉中正路9號,,,,違反相關法規露營場,違反農業發展條例,是,
金岳秘境露營區,宜蘭縣,10002,南澳鄉,營業中,121.765132,24.46939277,宜蘭縣南澳鄉金岳村鹿皮路5-3號,,,,違反相關法規露營場,違反農業發展條例,是,
友露溪谷露營區,宜蘭縣,10002,南澳鄉,營業中,121.7770993,24.46552743,宜蘭縣南澳鄉金岳村6鄰鹿皮路6之2號,,0970161388,,違反相關法規露營場,區域計畫法,是,
老柯農莊,宜蘭縣,10002,南澳鄉,營業中,121.7453136,24.42529781,宜蘭縣南澳鄉金洋村博愛路18-1號,,0919283363,,違反相關法規露營場,違反農業發展條例,是,
瀧雲山莊露營區(伊娜達漾),宜蘭縣,10002,南澳鄉,營業中,121.7633494,24.44064626,武塔村橫山路13-7號,,0910057727,,違反相關法規露營場,區域計畫法,是,
鹿皮山水露營區,宜蘭縣,10002,南澳鄉,營業中,121.7613752,24.46582355,金岳村鹿皮路3號,,0932070136,,違反相關法規露營場,區域計畫法,是,
摩諾營地,宜蘭縣,10002,南澳鄉,營業中,121.749566,24.4377,宜蘭縣南澳鄉金洋村金洋路2之2號,,0934282298,,違反相關法規露營場,違反農業發展條例,是,
碧候溫泉園區露營場,宜蘭縣,10002,南澳鄉,營業中,121.76237,24.504625,金岳路200號,,,,符合相關法規露營場,,是,1121129
春風谷露營區,宜蘭縣,10002,南澳鄉,營業中,121.7759126,24.48727972,宜蘭縣南澳鄉金岳路98-28號,,,,違反相關法規露營場,區域計畫法,是,
鄉野沐田休閒農場,宜蘭縣,10002,員山鄉,營業中,121.42184,24.43437,八甲路15-16號,,0928219582,,符合相關法規露營場,,否,休閒農場請洽主管機關（農業部）
雙連埤露營區,宜蘭縣,10002,員山鄉,營業中,121.6383692,24.75466152,宜蘭縣員山鄉雙埤路19-5號,,0953028886,,違反相關法規露營場,違反區域計畫法,否,
鳳梨屋水上莊園,宜蘭縣,10002,員山鄉,營業中,121.6181321,24.69598299,宜蘭縣員山嫏中華村長嶺路195號,,,,符合相關法規露營場,,否,休閒農場請洽主管機關（農業部）
花間露休閒露營區,宜蘭縣,10002,員山鄉,營業中,121.6179393,24.69622989,長嶺路131號,,0922118665,,違反相關法規露營場,區域計畫法,否,
庄腳所在休閒農場,宜蘭縣,10002,員山鄉,營業中,121.694958,24.780722,宜蘭縣員山鄉坡城路69-9號,039222000,0952070990,https://www.huago.tw/archives/listings/%E5%BA%84%E8%85%B3%E6%89%80%E5%9C%A8%E4%BC%91%E9%96%92%E8%BE%B2%E5%A0%B4,符合相關法規露營場,,否,休閒農場請洽主管機關（農業部）
山門共享基地露營場,宜蘭縣,10002,員山鄉,營業中,121.7018759,24.71413235,宜蘭縣員山鄉深福路128號,,0986669856,,違反相關法規露營場,區域計畫法,否,
宜蘭深溝_車宿_露營,宜蘭縣,10002,員山鄉,營業中,121.7252656,24.72226461,宜蘭縣員山鄉惠深二路一段82-8號,,,,違反相關法規露營場,區域計畫法,否,
鵲子山露營地,宜蘭縣,10002,頭城鎮,營業中,121.773996,24.856751,宜蘭縣頭城鎮北宜路二段71巷60號,,0919900262,,違反相關法規露營場,區域計畫法,否,
頭城濱海森林公園露營場,宜蘭縣,10002,頭城鎮,營業中,121.8291923,24.85056181,協天路400號,,,,符合相關法規露營場,,否,1120616
微笑灣休閒農場,宜蘭縣,10002,頭城鎮,營業中,121.824989,24.863045,宜蘭縣頭城鎮仙公路180巷50號,,,,符合相關法規露營場,,否,休閒農場請洽主管機關（農業部）
水旅居露營,宜蘭縣,10002,頭城鎮,營業中,121.828713,24.8612361,宜蘭縣頭城鎮文化路205巷38-1號,,0912581913,,符合相關法規露營場,,否,1140312
山海匯靜思露營區,宜蘭縣,10002,頭城鎮,營業中,121.804526,24.868124,宜蘭縣頭城鎮福德坑路5-1號,,0925590329,,違反相關法規露營場,占用國有非公用土地 區域計畫法,否,
清林園林休閒農場,宜蘭縣,10002,礁溪鄉,營業中,121.786303,24.809145,宜蘭縣礁溪鄉二龍村淇武蘭路111之8號,,,,符合相關法規露營場,,否,休閒農場請洽主管機關（農業部）
得天露營車,宜蘭縣,10002,礁溪鄉,營業中,121.7568719,24.82647306,五峰路69號,,,,違反相關法規露營場,都市計畫法,否,
跑馬古道露營區,宜蘭縣,10002,礁溪鄉,營業中,121.7768363,24.84369768,宜蘭縣礁溪鄉白石腳路61號,039886232,,,違反相關法規露營場,違反農業發展條例,否,
杉林奇蹟,宜蘭縣,10002,礁溪鄉,營業中,121.696394,24.815089,262宜蘭縣礁溪鄉二結路94號,,0958636633,,違反相關法規露營場,違反森林法或休閒農業輔導管理辦法,否,
礁溪休閒農業有限公司休閒農場,宜蘭縣,10002,礁溪鄉,營業中,121.753845,24.835621,宜蘭縣礁溪鄉五峰路70巷50號,,,,符合相關法規露營場,,否,休閒農場請洽主管機關（農業部）
露樹露營區(原白石腳露營區),宜蘭縣,10002,礁溪鄉,營業中,121.780796,24.838186,宜蘭縣羅東鎮河濱路30巷13號,,,,違反相關法規露營場,區域計畫法,否,
926露營基地,宜蘭縣,10002,礁溪鄉,營業中,121.697139,24.817127,宜蘭縣礁溪鄉匏崙村匏杓崙路150之50號,,0937162068,,違反相關法規露營場,區域計畫法,否,
大礁溪星海露營場,宜蘭縣,10002,礁溪鄉,營業中,121.7188274,24.78486342,健康路二段９９號一樓,,0932263488,,符合相關法規露營場,,否,1130202
無憂花露營區,宜蘭縣,10002,礁溪鄉,營業中,121.7751629,24.8431368,宜蘭縣礁溪鄉白石腳路157巷88號,,,,違反相關法規露營場,區域計畫法,否,
合樂露營場,宜蘭縣,10002,礁溪鄉,營業中,121.7273545,24.78315631,宜蘭縣礁溪鄉大忠路173號5樓,039616866,0935208598,,符合相關法規露營場,,否,1140317
充電莊,宜蘭縣,10002,礁溪鄉,營業中,121.696143,24.808826,宜蘭縣礁溪鄉匏崙村匏杓崙路150-8號,,0919347289,,違反相關法規露營場,違反區域計畫法,否,
鷗漫景觀營地,宜蘭縣,10002,礁溪鄉,營業中,121.705847,24.811983,262宜蘭縣礁溪鄉匏杓崙路132-15號,,0975028669,,符合相關法規露營場,違反區域計畫法,否,1131113
橘子園露營區,宜蘭縣,10002,礁溪鄉,營業中,121.7815742,24.84035646,宜蘭縣礁溪鄉白石腳路55號,,0919934039,,違反相關法規露營場,區域計畫法,否,
夢土上休閒農場 (那一村豪華露營),宜蘭縣,10002,礁溪鄉,營業中,121.6818911,24.78500373,宜蘭縣礁溪鄉二結村（路）8-2號,,,,符合相關法規露營場,,否,休閒農場請洽主管機關（農業部）
Lemon Tree 檸檬樹露營區,宜蘭縣,10002,礁溪鄉,營業中,121.749328,24.786678,宜蘭縣礁溪鄉龍潭路172巷16號.,,,,違反相關法規露營場,違反農業發展條例,否,
山谷樂生態露營園區,宜蘭縣,10002,蘇澳鎮,營業中,121.730342,24.618825,聯絡地址:宜蘭縣冬山鄉中山村中山路802號,,0911820455,,符合相關法規露營場,,否,1130514
睡海邊露營區,宜蘭縣,10002,蘇澳鎮,營業中,121.836179,24.516189,宜蘭縣蘇澳鎮東澳路121巷25號,,0932090655,,違反相關法規露營場,違反農業發展條例,否,
武荖坑風景區露營場,宜蘭縣,10002,蘇澳鎮,營業中,121.8131919,24.6119909,武荖坑路75號,,,,符合相關法規露營場,,否,1120424
東豐露營區,花蓮縣,10015,玉里鎮,營業中,121.339579,23.33629541,,,,,違反相關法規露營場,區域計畫法,是,
納格林野營,花蓮縣,10015,光復鄉,營業中,,,大豐村大豐路157之一,,,,違反相關法規露營場,區域計畫法,是,
山民治97漫活營地,花蓮縣,10015,秀林鄉,營業中,121.632992,24.126285,民治97號,0987954899,0900054064,https://www.facebook.com/people/%E5%B1%B1%E6%B0%91%E6%B2%BB97%E6%BC%AB%E6%B4%BB%E7%87%9F%E5%9C%B0/100091120017495/,符合相關法規露營場,,是,1140207
奇蹟露營農場,花蓮縣,10015,秀林鄉,營業中,121.6052922,24.13824392,,,,,違反相關法規露營場,區域計畫法,是,
佐倉高地,花蓮縣,10015,秀林鄉,營業中,121.5521466,24.01217689,,,,,違反相關法規露營場,區域計畫法,是,
花蓮彩虹屋露營區,花蓮縣,10015,秀林鄉,營業中,121.6539445,24.15548699,,,,,違反相關法規露營場,待清查,是,
巴罕營家-清水斷崖露營,花蓮縣,10015,秀林鄉,營業中,121.6595264,24.15979129,,,,,違反相關法規露營場,待清查,是,
崇德瀅農場,花蓮縣,10015,秀林鄉,營業中,121.6616882,24.14805584,,,,,違反相關法規露營場,,是,休閒農場請洽主管機關（農業部）
悠悠太魯閣露營村,花蓮縣,10015,秀林鄉,營業中,121.6285692,24.12415759,,,,,違反相關法規露營場,區域計畫法,是,
羅山露營區,花蓮縣,10015,富里鄉,營業中,121.2767821,23.20195695,,,,,違反相關法規露營場,無登記,是,
海憩露營區,花蓮縣,10015,新城鄉,營業中,121.6286149,24.10949667,,,,,違反相關法規露營場,區域計畫法,是,
踏浪星辰露營區,花蓮縣,10015,新城鄉,營業中,121.6318777,24.02598126,,,,,違反相關法規露營場,都市計畫法,是,
後山星月,花蓮縣,10015,壽豐鄉,營業中,121.5594781,23.87584798,,,,,違反相關法規露營場,區域計畫法,是,
牛山呼庭休閒園區,花蓮縣,10015,壽豐鄉,營業中,121.5691587,23.76368938,,,,,違反相關法規露營場,無登記,是,
花蓮鯉魚潭露營區,花蓮縣,10015,壽豐鄉,營業中,121.5057252,23.91669615,池南村池南路二段90號,038655678,,https://www.liyulakeglmping.com/,符合相關法規露營場,,是,公有露營場請洽主管機關
鹽寮民宿露營區,花蓮縣,10015,壽豐鄉,營業中,121.6034411,23.91558495,,,,,違反相關法規露營場,無登記,是,
花蓮海洋露營區,花蓮縣,10015,壽豐鄉,營業中,121.6069405,23.92234916,大橋30之6號,,,,違反相關法規露營場,待清查,是,
石梯坪露營區,花蓮縣,10015,豐濱鄉,營業中,121.5115924,23.48417257,花蓮縣豐濱鄉石梯坪52號,,0930596580,,符合相關法規露營場,,是,公有露營場請洽主管機關
海放你基地,花蓮縣,10015,豐濱鄉,營業中,,,977004花蓮縣豐濱鄉永豐路11-5號,,,,違反相關法規露營場,區域計畫法,是,
磯崎好聚落高山森林基地,花蓮縣,10015,豐濱鄉,營業中,121.5468559,23.68454234,,,,,違反相關法規露營場,都市計畫法,是,
海浪 Cafe 露營區,花蓮縣,10015,豐濱鄉,營業中,121.5068962,23.54074952,,,,,違反相關法規露營場,區域計畫法,是,
金門金寧_中山林露營區,金門縣,9020,金寧鄉,營業中,118.355405,24.440854,后盤村4鄰伯玉路二段 ４６０之１號,082313100,,,符合相關法規露營場,,否,公有露營場請洽主管機關
洞九的山莊,南投縣,10008,中寮鄉,營業中,120.8226572,23.9558857,清水村頂坑巷12號,,0932561535,https://www.facebook.com/Kuo009/,違反相關法規露營場,農業發展條例,否,
長壽天然農場露營區,南投縣,10008,中寮鄉,營業中,120.8143417,23.9151358,永樂路158號,,0972952039,,違反相關法規露營場,區域計畫法,否,
雲峯景觀莊園(雲の景觀莊園),南投縣,10008,中寮鄉,營業中,120.825115,23.939829,清水村瀧林巷35-13號,,0937767367,http://yunfeng2015.blogspot.tw/?m=1,違反相關法規露營場,農業發展條例,否,
賞星月慕露營區,南投縣,10008,中寮鄉,營業中,120.7818953,23.8955372,南投縣中寮鄉復興村復興巷31-12號旁,,0932057655,,違反相關法規露營場,區域計畫法,否,
森呼吸,南投縣,10008,中寮鄉,營業中,120.8133036,23.9245307,合興村永樂路201號,,0936313139,https://www.facebook.com/profile.php?id=100064168291942,違反相關法規露營場,農業發展條例,否,
本之山農場(本之山露營區),南投縣,10008,中寮鄉,營業中,120.75952,23.88733,愛鄉巷39-25號,,0912579478,,違反相關法規露營場,區域計畫法,否,
雲淡風清營地,南投縣,10008,中寮鄉,營業中,120.7983336,23.9386587,瀧淋巷 81-8 號,,0932596277,https://www.facebook.com/clear818/,違反相關法規露營場,農業發展條例,否,
鶴里翁露營區,南投縣,10008,中寮鄉,營業中,120.7684353,23.9415135,南投縣中寮鄉龍南路151-20號,,0932658049,https://www.easycamp.com.tw/Store_2312.html,違反相關法規露營場,農業發展條例,否,
心花露FUN露營區,南投縣,10008,中寮鄉,營業中,120.8083164,23.9367015,清水村瀧林巷56號,,,https://www.facebook.com/profile.php?id=100063906461448,違反相關法規露營場,農業發展條例,否,
潺潺森活,南投縣,10008,中寮鄉,營業中,120.8005562,23.9055349,仙洞巷39-8 號,,0935080173,https://www.facebook.com/Zen.Life.Camping.398/,違反相關法規露營場,農業發展條例,否,
依星生態農場,南投縣,10008,中寮鄉,營業中,120.83453,23.96077,清水村頂坑巷1-1號,,0932631420,,違反相關法規露營場,區域計畫法,否,
腸寶圖露營農場,南投縣,10008,中寮鄉,營業中,120.8036,23.88115,福盛村福山路149號,,0932691802,,違反相關法規露營場,區域計畫法,否,
言葉之庭露營區,南投縣,10008,中寮鄉,營業中,120.8062038,23.9007125,永樂路134之2號,,0921742387,https://campground-227.business.site/,違反相關法規露營場,違反區域計畫法\農業發展條例,否,
舞蝶到了露營區,南投縣,10008,中寮鄉,營業中,120.78514,23.87292,永平路100-36號,,0939881231,,違反相關法規露營場,區域計畫法,否,
合樂露營區(晨星露營區),南投縣,10008,中寮鄉,營業中,,,,,,,違反相關法規露營場,區域計畫法,否,
海豚星露營區(疑似為晨星露營區遷址前舊名),南投縣,10008,中寮鄉,營業中,120.811106,23.910725,南投縣中寮鄉永樂路165-8號,,0980554443,https://facebook.com/home.php?_rdr,違反相關法規露營場,農業發展條例,否,
橋頭溪畔露營區,南投縣,10008,中寮鄉,營業中,120.8109905,23.9108014,永樂路165-8號,,0933166997,,違反相關法規露營場,區域計畫法,否,
迷露1850(原青青草原露營客棧),南投縣,10008,仁愛鄉,營業中,121.168031,24.059529,仁和路179-5號,0492563802,0921300610,,違反相關法規露營場,農業發展條例,是,
士官長露營區,南投縣,10008,仁愛鄉,營業中,121.1694974,24.0237664,南投縣仁愛鄉虎門巷68號,,0911237824,https://www.facebook.com/yong0809,違反相關法規露營場,農業發展條例,是,
波露克爾咖啡露營棧(瑪羅伊休息站),南投縣,10008,仁愛鄉,營業中,121.1199891,23.9678726,南投縣仁愛鄉大安路107號,,0912998686,https://www.facebook.com/ï¼E6ï¼B3ï¼A2ï¼E9ï¼9Cï¼B2ï¼E5ï¼85ï¼8Bï¼E7ï¼88ï¼BEï¼E5ï¼92ï¼96ï¼E5ï¼95ï¼A1ï¼E9ï¼9Cï¼B2ï¼E7ï¼87ï¼9Fï¼E6ï¼A3ï¼A7-1191360597651327/,違反相關法規露營場,農業發展條例,是,
花鳥蟲鳴高山露營區,南投縣,10008,仁愛鄉,營業中,121.17148,24.07446,大同村博望巷30-2號,,0913953559,,違反相關法規露營場,區域計畫法,是,
快樂中原,南投縣,10008,仁愛鄉,營業中,120.9801336,24.0542975,原名路43附7號,,0987375536,https://www.facebook.com/happy.m0918123472/,違反相關法規露營場,未提出露營場申請,是,
舒谷露營區,南投縣,10008,仁愛鄉,營業中,121.17279,24.03042,無,0921353385,0966773686,,違反相關法規露營場,區域計畫法,是,
蘋果園景觀露營區,南投縣,10008,仁愛鄉,營業中,121.16662,24.0673,仁和路224附1號,,0907327935,,違反相關法規露營場,區域計畫法,是,
